Country,City,Latitude,Long,hotel_name
CA,Tuktoyaktuk,69.4541,-133.0374,Smitty's Bed and Breakfast
RU,Pevek,69.7008,170.3133,Munitsipal'naya Gostinitsa
US,Barrow,71.2906,-156.7887,Top of the World Hotel
GL,Qaanaaq,77.484,-69.3632,Qaanaaq Hotel
IS,Husavik,66.0449,-17.3389,Fosshotel Húsavík
KZ,Borovskoy,53.8,64.15,Marzhan
FI,Rovaniemi,66.5,25.7167,Arctic City Hotel
SJ,Longyearbyen,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
NO,Karasjok,69.4719,25.5112,Scandic Karasjok
